,Dia,Hora,GEN,NOC,VHC,COFGEN,COFNOC,COFVHC,PMHGEN,PMHNOC,PMHVHC,SAHGEN,SAHNOC,SAHVHC,FOMGEN,FOMNOC,FOMVHC,FOSGEN,FOSNOC,FOSVHC,INTGEN,INTNOC,INTVHC,PCAPGEN,PCAPNOC,PCAPVHC,TEUGEN,TEUNOC,TEUVHC
0,2014-01-04,00-01,92.75,40.55,43.18,0.000111340266,0.000217073406,6.8135502e-05,32.09,31.16,32.2,5.29,5.14,5.31,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
1,2014-01-04,01-02,86.45,34.44,32.13,7.1835665e-05,0.000211355666,0.000506611654,24.01,23.31,22.87,7.08,6.87,6.74,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,1.48,44.03,2.22,0.89
2,2014-01-04,02-03,78.81,27.02,24.85,5.9351453e-05,0.000197051861,0.000451597733,15.45,15.0,14.72,8.0,7.77,7.62,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,1.48,44.03,2.22,0.89
3,2014-01-04,03-04,77.47,25.72,23.57,5.1775154e-05,0.000192900726,0.000277755181,12.88,12.51,12.27,9.22,8.96,8.79,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,1.48,44.03,2.22,0.89
4,2014-01-04,04-05,76.89,25.15,23.02,4.4268102e-05,0.000165174801,0.000124009127,12.02,11.67,11.45,9.51,9.23,9.06,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,1.48,44.03,2.22,0.89
5,2014-01-04,05-06,77.15,25.41,23.27,4.421335e-05,0.000149236271,5.873113e-05,12.47,12.11,11.88,9.31,9.04,8.87,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,1.48,44.03,2.22,0.89
6,2014-01-04,06-07,84.59,32.63,30.36,5.4235248e-05,0.000126236666,5.4149786e-05,20.82,20.21,19.83,8.41,8.17,8.01,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,1.48,44.03,2.22,0.89
7,2014-01-04,07-08,87.41,35.37,37.82,7.8857175e-05,0.000113612999,5.7358082e-05,24.87,24.15,24.96,7.17,6.96,7.2,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
8,2014-01-04,08-09,95.66,43.38,46.11,0.000103890024,9.3430764e-05,5.9650516e-05,32.44,31.51,32.56,7.85,7.63,7.88,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
9,2014-01-04,09-10,97.81,45.46,48.26,0.000102936422,8.1246041e-05,5.2556819e-05,35.91,34.87,36.04,6.53,6.34,6.56,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
10,2014-01-04,10-11,100.3,47.89,50.76,9.9998746e-05,6.3055986e-05,4.8946926e-05,38.71,37.59,38.85,6.22,6.04,6.25,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
11,2014-01-04,11-12,96.37,44.07,46.82,0.000104543681,6.3055986e-05,5.0494465e-05,34.5,33.5,34.62,6.51,6.32,6.53,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
12,2014-01-04,12-13,88.95,36.86,39.37,0.000109430982,6.005332e-05,5.2578974e-05,28.88,28.04,28.98,4.71,4.57,4.72,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
13,2014-01-04,13-14,91.07,109.73,109.73,0.000119093335,7.0648731e-05,5.7551576e-05,30.95,31.17,31.17,4.75,4.79,4.79,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
14,2014-01-04,14-15,86.26,104.88,104.88,0.00012910094,7.859529e-05,6.2468736e-05,25.41,25.59,25.59,5.48,5.52,5.52,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
15,2014-01-04,15-16,84.13,102.74,102.74,0.00012913089,8.1244143e-05,6.2852804e-05,23.62,23.79,23.79,5.14,5.18,5.18,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
16,2014-01-04,16-17,78.54,97.11,97.11,0.000119147461,6.7999879e-05,6.1549999e-05,17.58,17.7,17.7,5.6,5.64,5.64,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
17,2014-01-04,17-18,81.22,99.81,99.81,0.000116666244,6.2702173e-05,6.7232846e-05,20.13,20.27,20.27,5.72,5.76,5.76,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
18,2014-01-04,18-19,77.78,96.34,96.34,0.000114150077,6.2702173e-05,7.2550607e-05,16.68,16.8,16.8,5.73,5.77,5.77,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
19,2014-01-04,19-20,84.48,103.09,103.09,0.000116938351,6.7999879e-05,8.0408789e-05,23.53,23.69,23.69,5.59,5.63,5.63,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
20,2014-01-04,20-21,96.38,115.08,115.08,0.000134472368,7.859529e-05,9.2726424e-05,28.98,29.18,29.18,12.04,12.12,12.12,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
21,2014-01-04,21-22,97.28,115.98,115.98,0.000158833425,8.6541848e-05,9.9573949e-05,30.0,30.22,30.22,11.91,12.0,12.0,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
22,2014-01-04,22-23,87.27,105.9,105.9,0.000169181549,9.2634209e-05,9.5467632e-05,26.88,27.07,27.07,5.03,5.06,5.06,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
23,2014-01-04,23-24,87.47,35.42,37.88,0.000148896717,0.000158774195,8.8960143e-05,27.05,26.27,27.15,5.05,4.9,5.07,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
24,2014-01-05,00-01,105.08,52.53,55.56,0.0001388847513151,0.0001726885965545,7.42192351459e-05,42.4,41.17,42.55,7.32,7.11,7.34,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
25,2014-01-05,01-02,103.89,51.38,48.74,0.0001092329076127,0.0001692931842864,0.0003924630082421,38.77,37.65,36.93,9.76,9.48,9.3,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,1.48,44.03,2.22,0.89
26,2014-01-05,02-03,101.97,49.51,46.91,8.37085072286e-05,0.0001532533948252,0.0003453112148253,36.1,35.06,34.39,10.5,10.2,10.0,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,1.48,44.03,2.22,0.89
27,2014-01-05,03-04,103.6,51.09,48.46,7.59723808541e-05,0.0001443050677773,0.0002180959833131,37.12,36.04,35.36,11.12,10.79,10.59,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,1.48,44.03,2.22,0.89
28,2014-01-05,04-05,102.57,50.09,47.48,7.22510024442e-05,0.0001325743902981,0.0001074543623969,35.91,34.87,34.21,11.3,10.97,10.76,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,1.48,44.03,2.22,0.89
29,2014-01-05,05-06,102.61,50.13,47.52,6.74073625652e-05,0.0001122137027722,5.78745602935e-05,35.57,34.54,33.88,11.67,11.34,11.12,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,1.48,44.03,2.22,0.89
30,2014-01-05,06-07,102.23,49.76,47.16,5.5920825499e-05,9.28592635398e-05,4.6202990233e-05,34.38,33.39,32.75,12.48,12.12,11.89,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,1.48,44.03,2.22,0.89
31,2014-01-05,07-08,101.36,48.92,51.83,5.34385300846e-05,7.37017075495e-05,3.91813176493e-05,32.88,31.93,32.99,13.12,12.74,13.17,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
32,2014-01-05,08-09,96.72,44.41,47.17,5.75456122939e-05,4.49679836888e-05,3.42258330467e-05,30.91,30.01,31.01,10.45,10.15,10.49,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
33,2014-01-05,09-10,97.69,45.35,48.14,6.91928765952e-05,3.80498323521e-05,3.48755256598e-05,32.76,31.82,32.88,9.56,9.29,9.6,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
34,2014-01-05,10-11,96.99,44.67,47.43,8.9532350624e-05,3.82638146908e-05,4.32427323646e-05,34.63,33.63,34.75,6.99,6.79,7.01,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
35,2014-01-05,11-12,96.31,44.01,46.76,9.84141471378e-05,4.01436714635e-05,4.70467262504e-05,34.43,33.43,34.55,6.52,6.33,6.54,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
36,2014-01-05,12-13,96.12,43.83,46.56,0.000103079586393,4.01436714635e-05,4.9161032624e-05,34.42,33.42,34.54,6.34,6.15,6.36,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,1.89,2.63,44.03,2.22,2.88
37,2014-01-05,13-14,96.17,114.86,114.86,0.0001053202546284,4.384561465e-05,5.03826884998e-05,34.49,34.73,34.73,6.32,6.36,6.36,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
38,2014-01-05,14-15,94.68,113.37,113.37,0.0001137844266388,4.75475578365e-05,5.46069906987e-05,32.47,32.7,32.7,6.85,6.9,6.9,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
39,2014-01-05,15-16,93.22,111.9,111.9,0.0001069650904238,5.12495010231e-05,5.18269489935e-05,30.56,30.78,30.78,7.3,7.35,7.35,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
40,2014-01-05,16-17,88.35,106.98,106.98,9.83618872359e-05,4.19946430567e-05,4.99700964664e-05,24.54,24.72,24.72,8.44,8.5,8.5,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
41,2014-01-05,17-18,85.72,104.34,104.34,9.3562321408e-05,3.82926998702e-05,5.25151027187e-05,20.88,21.03,21.03,9.47,9.54,9.54,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
42,2014-01-05,18-19,87.27,105.9,105.9,9.10761018255e-05,4.01436714635e-05,5.59533514685e-05,22.31,22.47,22.47,9.6,9.67,9.67,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
43,2014-01-05,19-20,91.27,109.93,109.93,9.58076100658e-05,4.19946430567e-05,6.25769835794e-05,28.64,28.84,28.84,7.27,7.32,7.32,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
44,2014-01-05,20-21,95.81,114.5,114.5,0.0001221905657651,4.56965862433e-05,7.752607771e-05,34.21,34.45,34.45,6.24,6.28,6.28,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
45,2014-01-05,21-22,99.52,118.23,118.23,0.0001474847567453,5.68024158028e-05,8.6018758947e-05,38.35,38.62,38.62,5.8,5.84,5.84,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
46,2014-01-05,22-23,98.74,117.45,117.45,0.0001544251713396,6.79082453624e-05,8.4117667445e-05,38.49,38.76,38.76,4.89,4.92,4.92,0.03,0.03,0.03,0.12,0.12,0.12,0.0,0.0,0.0,11.19,11.61,11.61,44.03,62.01,62.01
