,Dia,Hora,GEN,NOC,VHC,COFGEN,COFNOC,COFVHC,PMHGEN,PMHNOC,PMHVHC,SAHGEN,SAHNOC,SAHVHC,FOMGEN,FOMNOC,FOMVHC,FOSGEN,FOSNOC,FOSVHC,INTGEN,INTNOC,INTVHC,PCAPGEN,PCAPNOC,PCAPVHC,TEUGEN,TEUNOC,TEUVHC,CCVGEN,CCVNOC,CCVVHC
0,2019-01-01,00-01,143.41,91.76,98.18,9.919661e-05,0.000203352684,0.000171493768,85.54,81.13,86.01,4.3,4.08,4.32,0.03,0.03,0.03,0.14,0.14,0.14,0.91,0.86,0.91,5.92,0.98,1.4,44.03,2.22,2.88,2.53,2.33,2.48
1,2019-01-01,01-02,143.64,91.98,87.35,8.2562518e-05,0.000187557944,0.00018133333,85.61,81.19,78.38,4.45,4.22,4.08,0.03,0.03,0.03,0.14,0.14,0.13,0.91,0.86,0.83,5.93,0.98,0.75,44.03,2.22,0.89,2.54,2.34,2.25
2,2019-01-01,02-03,143.52,91.87,87.24,7.0328038e-05,0.000171021119,0.000170666722,84.48,80.12,77.35,5.47,5.18,5.0,0.03,0.03,0.03,0.14,0.14,0.13,0.91,0.86,0.83,5.93,0.98,0.75,44.03,2.22,0.89,2.54,2.34,2.25
3,2019-01-01,03-04,141.7,90.14,85.58,6.2629125e-05,0.000159073601,0.000162079589,81.46,77.26,74.59,6.69,6.35,6.13,0.03,0.03,0.03,0.14,0.14,0.13,0.91,0.86,0.83,5.93,0.98,0.75,44.03,2.22,0.89,2.51,2.31,2.23
4,2019-01-01,04-05,136.43,85.14,80.75,5.8526188e-05,0.000152515441,0.000152213111,75.33,71.44,68.97,7.63,7.24,6.99,0.03,0.03,0.03,0.14,0.14,0.13,0.91,0.86,0.83,5.93,0.98,0.75,44.03,2.22,0.89,2.43,2.23,2.15
5,2019-01-01,05-06,132.41,81.33,77.07,5.7152273e-05,0.000157574027,0.000145770973,71.0,67.34,65.01,8.0,7.59,7.33,0.03,0.03,0.03,0.14,0.14,0.13,0.91,0.86,0.83,5.93,0.98,0.75,44.03,2.22,0.89,2.37,2.18,2.1
6,2019-01-01,06-07,132.92,81.81,77.53,5.8450507e-05,0.000159865541,0.000141549641,71.68,67.98,65.63,7.82,7.42,7.16,0.03,0.03,0.03,0.14,0.14,0.13,0.91,0.86,0.83,5.93,0.98,0.75,44.03,2.22,0.89,2.38,2.18,2.11
7,2019-01-01,07-08,138.57,87.17,93.38,6.2788747e-05,0.000157547385,0.000136534606,78.2,74.16,78.68,6.87,6.52,6.92,0.03,0.03,0.03,0.14,0.14,0.15,0.91,0.86,0.91,5.93,0.98,1.4,44.03,2.22,2.88,2.46,2.27,2.41
8,2019-01-01,08-09,138.32,86.94,93.13,7.335863e-05,0.000126575487,8.4090587e-05,78.09,74.07,78.58,6.73,6.39,6.77,0.03,0.03,0.03,0.14,0.14,0.15,0.91,0.86,0.91,5.93,0.98,1.4,44.03,2.22,2.88,2.46,2.26,2.4
9,2019-01-01,09-10,135.17,84.43,90.06,9.4145256e-05,0.000110121877,6.1411793e-05,76.43,72.83,76.92,5.45,5.19,5.49,0.03,0.03,0.03,0.14,0.13,0.14,0.89,0.85,0.9,5.8,0.96,1.37,44.03,2.22,2.88,2.39,2.21,2.34
