,Unnamed: 0,Dia,Hora,GEN,NOC,VHC,COFGEN,COFNOC,COFVHC,PMHGEN,PMHNOC,PMHVHC,SAHGEN,SAHNOC,SAHVHC,FOMGEN,FOMNOC,FOMVHC,FOSGEN,FOSNOC,FOSVHC,INTGEN,INTNOC,INTVHC,PCAPGEN,PCAPNOC,PCAPVHC,TEUGEN,TEUNOC,TEUVHC,CCVGEN,CCVNOC,CCVVHC
0,0,01/01/2021,00-01,"120,67","70,37","75,42","0,000111396270000000","0,000156785536000000","0,000138602057000000","64,06","60,87","64,46","4,33","4,12","4,36","0,03","0,03","0,03","0,18","0,17","0,18","0,00","0,00","0,00","5,87","0,97","1,39","44,03","2,22","2,88","2,17","1,99","2,11"
1,1,01/01/2021,01-02,"117,38","67,36","63,67","0,000093667286000000","0,000140250815000000","0,000153300578000000","60,26","57,35","55,44","4,92","4,68","4,53","0,03","0,03","0,03","0,18","0,17","0,17","0,00","0,00","0,00","5,84","0,97","0,75","44,03","2,22","0,89","2,11","1,94","1,87"
2,2,01/01/2021,02-03,"114,67","64,50","60,82","0,000078825434000000","0,000123827838000000","0,000149147907000000","56,66","53,74","51,88","5,76","5,46","5,27","0,03","0,03","0,03","0,18","0,18","0,17","0,00","0,00","0,00","5,92","0,98","0,75","44,03","2,22","0,89","2,08","1,91","1,84"
3,3,01/01/2021,03-04,"108,29","58,45","54,98","0,000068957591000000","0,000111642104000000","0,000140967682000000","49,20","46,67","45,05","6,92","6,57","6,34","0,03","0,03","0,03","0,18","0,18","0,17","0,00","0,00","0,00","5,93","0,98","0,75","44,03","2,22","0,89","1,99","1,82","1,75"
4,4,01/01/2021,04-05,"106,33","56,59","53,19","0,000063511996000000","0,000105116535000000","0,000133523072000000","47,10","44,68","43,13","7,09","6,73","6,49","0,03","0,03","0,03","0,18","0,18","0,17","0,00","0,00","0,00","5,93","0,98","0,75","44,03","2,22","0,89","1,96","1,79","1,72"
5,5,01/01/2021,05-06,"106,13","56,41","53,01","0,000061406747000000","0,000105509592000000","0,000127298510000000","46,78","44,37","42,84","7,22","6,85","6,61","0,03","0,03","0,03","0,18","0,18","0,17","0,00","0,00","0,00","5,93","0,98","0,75","44,03","2,22","0,89","1,96","1,79","1,72"
6,6,01/01/2021,06-07,"106,18","56,45","53,06","0,000062406034000000","0,000106634038000000","0,000122372116000000","46,85","44,43","42,90","7,21","6,83","6,60","0,03","0,03","0,03","0,18","0,18","0,17","0,00","0,00","0,00","5,93","0,98","0,75","44,03","2,22","0,89","1,96","1,79","1,72"
7,7,01/01/2021,07-08,"105,89","56,17","60,49","0,000067056808000000","0,000108089787000000","0,000116825462000000","46,78","44,37","47,08","6,98","6,62","7,02","0,03","0,03","0,03","0,18","0,18","0,19","0,00","0,00","0,00","5,93","0,98","1,40","44,03","2,22","2,88","1,95","1,78","1,90"
8,8,01/01/2021,08-09,"104,39","55,05","59,04","0,000078451309000000","0,000102678109000000","0,000095932690000000","45,77","43,58","46,03","6,66","6,34","6,70","0,03","0,03","0,03","0,18","0,17","0,18","0,00","0,00","0,00","5,81","0,96","1,37","44,03","2,22","2,88","1,91","1,75","1,85"
9,9,01/01/2021,09-10,"103,42","54,28","58,11","0,000100952546000000","0,000108795581000000","0,000080181301000000","45,33","43,25","45,59","6,21","5,93","6,25","0,03","0,03","0,03","0,18","0,17","0,18","0,00","0,00","0,00","5,75","0,95","1,36","44,03","2,22","2,88","1,89","1,73","1,83"
10,10,01/01/2021,10-11,"101,92","53,05","56,64","0,000123957442000000","0,000124466156000000","0,000087900881000000","45,86","43,87","46,09","4,31","4,13","4,33","0,03","0,03","0,03","0,18","0,17","0,18","0,00","0,00","0,00","5,66","0,94","1,33","44,03","2,22","2,88","1,85","1,70","1,79"
11,11,01/01/2021,11-12,"101,13","52,45","55,88","0,000137267253000000","0,000130072630000000","0,000091260678000000","45,46","43,58","45,69","4,00","3,83","4,02","0,03","0,03","0,03","0,17","0,17","0,18","0,00","0,00","0,00","5,61","0,93","1,32","44,03","2,22","2,88","1,83","1,68","1,77"
12,12,01/01/2021,12-13,"104,36","123,13","59,20","0,000143125149000000","0,000120514299000000","0,000089475579000000","44,87","45,32","45,10","7,86","7,94","7,90","0,03","0,03","0,03","0,17","0,17","0,17","0,00","0,00","0,00","5,53","5,76","1,31","44,03","62,01","2,88","1,86","1,89","1,81"
13,13,01/01/2021,13-14,"104,23","122,94","122,94","0,000150265173000000","0,000123662046000000","0,000086495847000000","44,87","45,29","45,29","7,73","7,80","7,80","0,03","0,03","0,03","0,17","0,17","0,17","0,00","0,00","0,00","5,53","5,75","5,75","44,03","62,01","62,01","1,86","1,88","1,88"
14,14,01/01/2021,14-15,"103,51","122,26","122,26","0,000150500387000000","0,000122797795000000","0,000083506125000000","43,92","44,36","44,36","7,94","8,02","8,02","0,03","0,03","0,03","0,17","0,17","0,17","0,00","0,00","0,00","5,56","5,78","5,78","44,03","62,01","62,01","1,85","1,88","1,88"
15,15,01/01/2021,15-16,"98,98","117,68","117,68","0,000135500872000000","0,000109855423000000","0,000075684835000000","43,01","43,44","43,44","4,32","4,36","4,36","0,03","0,03","0,03","0,18","0,18","0,18","0,00","0,00","0,00","5,62","5,84","5,84","44,03","62,01","62,01","1,80","1,82","1,82"
16,16,01/01/2021,16-17,"100,01","118,76","118,76","0,000127888689000000","0,000103239516000000","0,000072198006000000","43,94","44,41","44,41","4,35","4,40","4,40","0,03","0,03","0,03","0,18","0,18","0,18","0,00","0,00","0,00","5,66","5,89","5,89","44,03","62,01","62,01","1,82","1,84","1,84"
17,17,01/01/2021,17-18,"103,15","121,94","121,94","0,000128737742000000","0,000104776626000000","0,000074581828000000","47,27","47,77","47,77","4,08","4,12","4,12","0,03","0,03","0,03","0,18","0,18","0,18","0,00","0,00","0,00","5,69","5,93","5,93","44,03","62,01","62,01","1,87","1,90","1,90"
18,18,01/01/2021,18-19,"118,63","137,59","137,59","0,000145291498000000","0,000132620196000000","0,000111313248000000","63,67","64,34","64,34","2,94","2,98","2,98","0,03","0,03","0,03","0,18","0,18","0,18","0,00","0,00","0,00","5,68","5,92","5,92","44,03","62,01","62,01","2,10","2,13","2,13"
19,19,01/01/2021,19-20,"125,35","144,38","144,38","0,000158693485000000","0,000152742339000000","0,000144858895000000","67,33","68,04","68,04","5,93","6,00","6,00","0,03","0,03","0,03","0,18","0,18","0,18","0,00","0,00","0,00","5,65","5,89","5,89","44,03","62,01","62,01","2,20","2,22","2,22"
20,20,01/01/2021,20-21,"127,82","146,80","146,80","0,000170145051000000","0,000165371465000000","0,000149845131000000","70,08","70,77","70,77","5,60","5,66","5,66","0,03","0,03","0,03","0,18","0,18","0,18","0,00","0,00","0,00","5,66","5,89","5,89","44,03","62,01","62,01","2,24","2,26","2,26"
21,21,01/01/2021,21-22,"123,13","142,14","142,14","0,000173813119000000","0,000172402764000000","0,000151170626000000","65,75","66,45","66,45","5,32","5,38","5,38","0,03","0,03","0,03","0,18","0,18","0,18","0,00","0,00","0,00","5,66","5,90","5,90","44,03","62,01","62,01","2,17","2,19","2,19"
22,22,01/01/2021,22-23,"124,76","74,51","143,82","0,000155424107000000","0,000185675899000000","0,000147812428000000","66,80","63,65","67,55","5,70","5,44","5,77","0,03","0,03","0,03","0,18","0,17","0,18","0,00","0,00","0,00","5,79","0,96","6,04","44,03","2,22","62,01","2,21","2,04","2,24"
23,23,01/01/2021,23-24,"121,84","71,55","76,56","0,000127880523000000","0,000171880322000000","0,000141323798000000","62,65","59,57","62,99","6,94","6,59","6,97","0,03","0,03","0,03","0,18","0,17","0,18","0,00","0,00","0,00","5,84","0,97","1,38","44,03","2,22","2,88","2,18","2,00","2,12"
24,24,02/01/2021,00-01,"116,00","66,05","70,71","0,000107885984000000","0,000150881862000000","0,000142325952000000","58,57","55,72","58,89","5,29","5,03","5,32","0,03","0,03","0,03","0,18","0,17","0,18","0,00","0,00","0,00","5,82","0,96","1,37","44,03","2,22","2,88","2,09","1,92","2,03"
25,25,02/01/2021,01-02,"111,95","62,14","58,68","0,000085130915000000","0,000128565913000000","0,000159950944000000","53,59","50,96","49,30","6,24","5,93","5,74","0,03","0,03","0,03","0,18","0,17","0,17","0,00","0,00","0,00","5,85","0,97","0,75","44,03","2,22","0,89","2,03","1,86","1,80"
26,26,02/01/2021,02-03,"109,45","59,71","56,23","0,000071636684000000","0,000113125579000000","0,000156586575000000","50,89","48,36","46,72","6,45","6,13","5,92","0,03","0,03","0,03","0,18","0,17","0,17","0,00","0,00","0,00","5,88","0,97","0,75","44,03","2,22","0,89","2,00","1,83","1,76"
27,27,02/01/2021,03-04,"108,65","58,90","55,45","0,000064931881000000","0,000104221976000000","0,000149016676000000","49,65","47,15","45,54","6,89","6,54","6,32","0,03","0,03","0,03","0,18","0,17","0,17","0,00","0,00","0,00","5,88","0,97","0,75","44,03","2,22","0,89","1,99","1,82","1,75"
28,28,02/01/2021,04-05,"107,05","57,37","53,98","0,000062032635000000","0,000100656055000000","0,000141306530000000","47,80","45,40","43,86","7,14","6,78","6,55","0,03","0,03","0,03","0,18","0,17","0,17","0,00","0,00","0,00","5,89","0,97","0,75","44,03","2,22","0,89","1,97","1,80","1,73"
29,29,02/01/2021,05-06,"107,01","57,34","54,00","0,000062518749000000","0,000104153819000000","0,000136426056000000","47,92","45,50","44,00","7,00","6,65","6,43","0,03","0,03","0,03","0,18","0,17","0,17","0,00","0,00","0,00","5,88","0,97","0,75","44,03","2,22","0,89","1,96","1,79","1,73"
30,30,02/01/2021,06-07,"109,26","59,63","56,20","0,000067824503000000","0,000111084387000000","0,000133928559000000","49,95","47,54","45,95","7,23","6,88","6,65","0,03","0,03","0,03","0,18","0,17","0,17","0,00","0,00","0,00","5,84","0,97","0,75","44,03","2,22","0,89","1,99","1,82","1,76"
