,Dia,Hora,PCB,CYM,COF2TD,PMHPCB,PMHCYM,SAHPCB,SAHCYM,FOMPCB,FOMCYM,FOSPCB,FOSCYM,INTPCB,INTCYM,PCAPPCB,PCAPCYM,TEUPCB,TEUCYM,CCVPCB,CCVCYM,EDSRPCB,EDSRCYM,EDCGASPCB,EDCGASCYM
0,2022-01-01,00-01,204.51,204.51,0.000127996592,179.02,179.02,16.95,16.95,0.03,0.03,0.17,0.17,0.0,0.0,0.0,0.0,4.35,4.35,3.98,3.98,0.0,0.0,,
1,2022-01-01,01-02,171.35,171.35,0.00011037581,142.82,142.82,20.48,20.48,0.03,0.03,0.17,0.17,0.0,0.0,0.0,0.0,4.35,4.35,3.49,3.49,0.0,0.0,,
2,2022-01-01,02-03,172.7,172.7,9.4495386e-05,143.13,143.13,21.48,21.48,0.03,0.03,0.18,0.18,0.0,0.0,0.0,0.0,4.35,4.35,3.52,3.52,0.0,0.0,,
3,2022-01-01,03-04,156.07,156.07,8.3466009e-05,123.81,123.81,24.42,24.42,0.03,0.03,0.18,0.18,0.0,0.0,0.0,0.0,4.35,4.35,3.28,3.28,0.0,0.0,,
4,2022-01-01,04-05,159.08,159.08,7.739709e-05,124.25,124.25,26.94,26.94,0.03,0.03,0.18,0.18,0.0,0.0,0.0,0.0,4.35,4.35,3.33,3.33,0.0,0.0,,
5,2022-01-01,05-06,157.28,157.28,7.5864986e-05,121.64,121.64,27.78,27.78,0.03,0.03,0.18,0.18,0.0,0.0,0.0,0.0,4.35,4.35,3.3,3.3,0.0,0.0,,
6,2022-01-01,06-07,158.87,158.87,7.6843065e-05,123.66,123.66,27.32,27.32,0.03,0.03,0.18,0.18,0.0,0.0,0.0,0.0,4.35,4.35,3.32,3.32,0.0,0.0,,
7,2022-01-01,07-08,157.58,157.58,8.054125e-05,123.12,123.12,26.6,26.6,0.03,0.03,0.18,0.18,0.0,0.0,0.0,0.0,4.35,4.35,3.3,3.3,0.0,0.0,,
8,2022-01-01,08-09,156.18,156.18,8.6845627e-05,122.35,122.35,26.01,26.01,0.03,0.03,0.18,0.18,0.0,0.0,0.0,0.0,4.35,4.35,3.27,3.27,0.0,0.0,,
9,2022-01-01,09-10,118.96,118.96,0.000104454211,85.65,85.65,26.06,26.06,0.03,0.03,0.17,0.17,0.0,0.0,0.0,0.0,4.35,4.35,2.69,2.69,0.0,0.0,,
